pid,process,rankig,hook,path_appdata_temp,assembly_section,dll_path,dll_rede,Malware,qt_dll_rede,qt_hook,qt_assembly,qt_dll_path,,
6592,OneDrive.exe,57527,1,1,1,1,1,0,4,11378,1,122,,fdb53df74b6d4c5cc2ad78fc1e195867cbfdff34
2744,Fondue.exe,4861,1,0,1,0,1,1,2,971,1,0,,
4516,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
4108,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
4972,ShellExperienc,94,1,0,0,0,1,0,2,18,0,0,,
2644,OneDrive.exe,53447,1,1,1,1,1,0,4,10562,1,122,,fef9c3b4b35c226501f7d60816bb00331a904d5b
7260,putty.exe,8461,1,0,0,0,0,1,0,1692,0,0,,
4160,WMIADAP.exe,941,1,0,0,0,0,0,0,188,0,0,,
4248,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
1984,svchost.exe,125,1,0,0,0,0,0,0,24,0,0,,
2924,OneDrive.exe,57807,1,1,1,1,1,0,4,11436,1,120,,fee13e6b8e39deb1edc1f52ab44ab8a1b3d48433
7616,wordpad.exe,29256,1,0,1,0,1,1,2,5850,1,0,,
7584,Reader_SL.exe,5388,1,1,0,1,0,1,0,1065,0,6,,
6960,SearchProtocol,1272,1,0,1,0,0,0,0,254,1,0,,
4416,explorer.exe,255,1,1,0,1,0,0,0,47,0,4,,
4404,OneDrive.exe,50642,1,1,1,1,1,0,4,10001,1,122,,fecdba1d903a51499a3953b4df1d850fbd5438bd
7588,putty.exe,7218,1,0,0,0,1,1,2,1442,0,0,,
7100,SearchProtocol,347,1,0,1,0,0,0,0,69,1,0,,
4376,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
896,winudf.exe,147,1,0,0,0,1,0,1,29,0,0,,
2824,OneDrive.exe,46807,1,1,1,1,1,0,4,9234,1,122,,fecd88c785b645316ebba49b72a998522bfe8cc2
7272,MediaCenter.ex,4024,1,1,1,1,1,1,4,791,1,6,,
4408,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
4352,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
5040,ShellExperienc,94,1,0,0,0,1,0,2,18,0,0,,
1056,OneDrive.exe,57157,1,1,1,1,1,0,4,11304,1,122,,fec9cfa02ecb40102723c81bbc32f01350c9f923
1264,putty.exe,3872,1,0,0,0,0,1,0,774,0,0,,
4532,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
1440,svchost.exe,129,1,0,1,0,0,0,0,24,1,0,,
5128,SearchUI.exe,118,1,0,0,0,1,0,4,22,0,0,,
2624,OneDrive.exe,46087,1,1,1,1,1,0,4,9090,1,122,,feaddb5aa8354cf198ea2bbd907f4df4c00ac7ea
4316,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
3872,conhost.exe,164,1,0,1,0,0,0,0,32,1,0,,
5112,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
4896,ShellExperienc,94,1,0,0,0,1,0,2,18,0,0,,
3088,OneDrive.exe,53187,1,1,1,1,1,0,4,10510,1,122,,ffead364ae7a692afec91740d24649396e0fa981
7928,putty.exe,6829,1,0,0,0,1,1,2,1365,0,0,,
4420,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
2728,SecurityHealth,155,1,0,0,0,1,0,2,29,0,0,,
2348,MSASCuiL.exe,130,1,0,0,0,0,1,0,26,0,0,,
5832,OneDrive.exe,40042,1,1,1,1,1,0,4,7881,1,122,,ffc74ab94c5e7a0b67c59f3e053928a4e21bcef7
7784,MediaCenter.ex,1966,1,1,0,1,1,1,4,378,0,6,,
4508,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
2756,SecurityHealth,155,1,0,0,0,1,0,2,29,0,0,,
4396,MSASCuiL.exe,130,1,0,0,0,0,0,0,26,0,0,,
6860,OneDrive.exe,45412,1,1,1,1,1,0,4,8955,1,122,,ffb622f9eff567efe6e7005b38b9c50077ea1e36
7912,putty.exe,4074,1,0,1,0,1,1,4,813,1,0,,
4248,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
2708,SecurityHealth,155,1,0,0,0,1,0,2,29,0,0,,
6772,MSASCuiL.exe,130,1,0,0,0,0,0,0,26,0,0,,
5344,OneDrive.exe,61642,1,1,1,1,1,0,4,12201,1,122,,ec250d2fb7169496a6236e90a27cdaf5279bd594
7372,putty.exe,9739,1,0,1,0,1,1,4,1945,1,0,,
1848,msiexec.exe,324,1,0,1,0,0,1,0,64,1,0,,
4436,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
4284,SearchUI.exe,116,1,0,0,0,1,0,3,22,0,0,,
6708,OneDrive.exe,60482,1,1,1,1,1,0,4,11969,1,122,,ec7cddcb57605434eb8020684b6dc5f600c5870a
7800,putty.exe,356,1,0,0,0,1,1,2,70,0,0,,
4248,msiexec.exe,324,1,0,1,0,0,1,0,64,1,0,,
4400,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
5028,SearchUI.exe,118,1,0,0,0,1,0,4,22,0,0,,
3616,OneDrive.exe,52917,1,1,1,1,1,0,4,10456,1,122,,ecdda7aca5c805e5be6e0ab2017592439de7e32c
4480,explorer.exe,262,1,1,1,1,0,0,0,47,1,4,,
1324,svchost.exe,159,1,0,1,0,0,0,0,30,1,0,,
3760,SearchUI.exe,121,1,0,1,0,1,0,4,22,1,0,,
4992,ShellExperienc,94,1,0,0,0,1,0,2,18,0,0,,
